belongs_to_collection,count,mean,sum
Harry Potter Collection,8,963420928.125,7707367425.0
Star Wars Collection,8,929311848.75,7434494790.0
James Bond Collection,26,273345009.1923077,7106970239.0
The Fast and the Furious Collection,8,640637349.125,5125098793.0
Pirates of the Caribbean Collection,5,904315365.2,4521576826.0
Transformers Collection,5,873220248.8,4366101244.0
Despicable Me Collection,4,922767554.0,3691070216.0
The Twilight Collection,5,668421458.0,3342107290.0
Ice Age Collection,5,643341710.6,3216708553.0
Jurassic Park Collection,4,757871035.75,3031484143.0
Shrek Collection,4,738951752.0,2955807008.0
The Hunger Games Collection,4,736040658.5,2944162634.0
The Hobbit Collection,3,978507785.3333334,2935523356.0
The Avengers Collection,2,1462480802.0,2924961604.0
The Lord of the Rings Collection,3,972181581.0,2916544743.0
X-Men Collection,6,468138719.5,2808832317.0
Avatar Collection,1,2787965087.0,2787965087.0
Mission: Impossible Collection,5,555795599.0,2778977995.0
Spider-Man Collection,3,832115506.0,2496346518.0
The Dark Knight Collection,3,821238738.6666666,2463716216.0
Iron Man Collection,3,808182515.6666666,2424547547.0
Madagascar Collection,4,564263598.25,2257054393.0
Captain America Collection,3,746213613.6666666,2238640841.0
Indiana Jones Collection,4,495933452.5,1983733810.0
Finding Nemo Collection,2,984453212.5,1968906425.0
Toy Story Collection,3,645963535.0,1937890605.0
The Terminator Collection,5,369065547.6,1845327738.0
Kung Fu Panda Collection,3,606202555.3333334,1818607666.0
Men In Black Collection,3,551745372.6666666,1655236118.0
The Bourne Collection,5,327483286.2,1637416431.0
Guardians of the Galaxy Collection,2,818372385.0,1636744770.0
The Matrix Collection,3,542368431.6666666,1627105295.0
The Chronicles of Narnia Collection,3,528048195.6666667,1584144587.0
Planet of the Apes (Reboot) Collection,3,521137571.3333333,1563412714.0
Man of Steel Collection,2,768052856.0,1536105712.0
The Amazing Spider-Man Collection,2,728966644.5,1457933289.0
Die Hard Collection,5,287017272.4,1435086362.0
The Wolverine Collection,3,468435115.0,1405305345.0
Alvin and the Chipmunks Collection,4,345239406.5,1380957626.0
Cars Collection,3,457335200.6666667,1372005602.0
Robert Langdon Collection,3,448151719.0,1344455157.0
Rocky Collection,7,191018013.42857143,1337126094.0
Night at the Museum Collection,3,445670431.0,1337011293.0
Alice in Wonderland Collection,2,662430597.0,1324861194.0
"Monsters, Inc. Collection",2,653187931.5,1306375863.0
Frozen Collection,1,1274219009.0,1274219009.0
Batman Collection,4,316521297.5,1266085190.0
The Mummy Collection,3,416675800.3333333,1250027401.0
Resident Evil Collection,6,205570287.83333334,1233421727.0
Independence Day Collection,2,603325601.5,1206651203.0
Star Trek: Alternate Reality Collection,3,398839169.3333333,1196517508.0
Meet the Parents Collection,3,385912523.0,1157737569.0
Ocean's Collection,3,374924684.6666667,1124774054.0
The Smurfs (Theatrical) Collection,3,369455682.3333333,1108367047.0
How to Train Your Dragon Collection,2,552000903.5,1104001807.0
Thor Collection,2,546949010.0,1093898020.0
The Hangover Collection,3,358575559.0,1075726677.0
American Pie Collection,4,247368846.5,989475386.0
Rio Collection,2,492412097.5,984824195.0
Superman Collection,5,195381708.0,976908540.0
Back to the Future Collection,3,319212448.3333333,957637345.0
Lethal Weapon Collection,4,238809310.75,955237243.0
Fifty Shades Collection,2,474916811.0,949833622.0
Taken Collection,3,309581099.3333333,928743298.0
The Hannibal Lecter Anthology,5,184884460.2,924422301.0
Home Alone Collection,3,304919623.6666667,914758871.0
Scary Movie Collection,5,179311006.0,896555030.0
Paranormal Activity Collection,6,147308094.5,883848567.0
Saw Collection,7,125472543.71428572,878307806.0
The Secret Life of Pets Collection,1,875457937.0,875457937.0
Sherlock Holmes Collection,2,429321839.5,858643679.0
Rush Hour Collection,3,283244966.3333333,849734899.0
The Jack Ryan Collection,5,167337682.2,836688411.0
Hotel Transylvania Collection,2,415801280.5,831602561.0
Wonder Woman Collection,1,820580447.0,820580447.0
Fantastic Beasts Collection,1,809342332.0,809342332.0
National Treasure Collection,2,402407531.0,804815062.0
The Jaws Collection,4,199601518.75,798406075.0
The Expendables Collection,3,264405453.66666666,793216361.0
The Lion King Collection,1,788241776.0,788241776.0
Deadpool Collection,1,783112979.0,783112979.0
The Lego Movie Collection,2,390555538.0,781111076.0
Ted Collection,2,383195451.5,766390903.0
Divergent Collection,3,254410988.0,763232964.0
300 Collection,2,380095235.0,760190470.0
Ghostbusters Collection,3,246584904.66666666,739754714.0
Beverly Hills Cop Collection,3,245178167.66666666,735534503.0
Rambo Collection,4,181968309.25,727873237.0
Teenage Mutant Ninja Turtles (Remake) Collection,2,361411924.0,722823848.0
Sex and the City Collection,2,351800239.0,703600478.0
Pokémon Collection,11,63481890.54545455,698300796.0
xXx Collection,3,231556657.33333334,694669972.0
Austin Powers Collection,3,225093168.66666666,675279506.0
G.I. Joe (Live-Action) Collection,2,337172647.5,674345295.0
The Maze Runner Collection,2,329788393.5,659576787.0
Almighty Collection,2,328786417.5,657572835.0
Step Up Collection,5,130187949.6,650939748.0
The Conjuring Collection,2,319085074.5,638170149.0
Prometheus Collection,2,317775192.5,635550385.0
The Incredibles Collection,1,631442092.0,631442092.0
Star Trek: The Original Series Collection,6,103816666.66666667,622900000.0
Fantastic Four Collection,2,309813741.0,619627482.0
Alien Collection,4,152505450.25,610021801.0
Mamma Mia! Collection,1,609841637.0,609841637.0
Crocodile Dundee Collection,3,202416130.0,607248390.0
Final Destination Collection,5,121100531.8,605502659.0
Scream Collection,4,151095731.5,604382926.0
Tangled Collection,1,591794936.0,591794936.0
The Exorcist Collection,5,117866323.8,589331619.0
The Croods Collection,1,585178928.0,585178928.0
The Huntsman Collection,2,280601081.5,561202163.0
Spy Kids Collection,4,137558457.5,550233830.0
Mad Max Collection,4,134922347.75,539689391.0
Underworld Collection,5,107921748.6,539608743.0
Happy Feet Collection,2,267371037.0,534742074.0
Bridget Jones Collection,3,178028411.66666666,534085235.0
Clash of the Titans Collection,2,266856569.5,533713139.0
World War Z Collection,1,531865000.0,531865000.0
Charlie's Angels Collection,2,261640666.5,523281333.0
Ant-Man Collection,1,519311965.0,519311965.0
Grown Ups Collection,2,259207233.5,518414467.0
Speed Collection,2,257478105.5,514956211.0
101 Dalmatians (Live-Action) Collection,2,252150532.5,504301065.0
Aladdin Collection,1,504050219.0,504050219.0
The Ring Collection,3,164627120.33333334,493881361.0
Cloudy with a Chance of Meatballs Collection,2,245686543.5,491373087.0
Mr. Bean Collection,2,240474507.0,480949014.0
The Fugitive / U.S. Marshals Collection,2,235621582.5,471243165.0
Wreck-It Ralph Collection,1,471222889.0,471222889.0
Dr. Dolittle Collection,2,235280474.5,470560949.0
Stuart Little Collection,2,235046086.5,470092173.0
Friday the 13th Collection,12,38741545.333333336,464898544.0
My Big Fat Greek Wedding Collection,2,228833647.5,457667295.0
Journey Collection,2,228697410.0,457394820.0
Scooby-Doo Collection,2,228558768.0,457117536.0
Dumb and Dumber Collection,3,152126633.0,456379899.0
Star Trek: The Next Generation Collection,4,113828206.5,455312826.0
Now You See Me Collection,2,226300115.5,452600231.0
SpongeBob Collection,2,225877912.0,451755824.0
Tarzan (Animation) Collection,1,448000000.0,448000000.0
The Santa Clause Collection,3,149062848.0,447188544.0
TRON Collection,2,216531381.5,433062763.0
Tomb Raider Collection,2,215604364.0,431208728.0
The Godfather Collection,3,143125104.66666666,429375314.0
